Round,Scenario,CPU Energy,GPU Energy,Total Energy,Total Time
1,1,327.26,364.02,691.28,15
2,1,304.49,364.28,668.77,15
3,1,311.85,362.07,673.92,15
4,1,318.45,359.62,678.07,15
5,1,329.08,366.00,695.08,15
6,1,322.81,368.10,690.91,15
7,1,312.54,370.27,682.81,15
8,1,317.53,362.37,679.90,15
9,1,319.82,365.78,685.60,15
10,1,315.06,361.51,676.57,16
11,1,318.97,365.68,684.65,15
12,1,320.35,362.73,683.08,15
13,1,312.20,366.32,678.52,15
14,1,310.72,368.03,678.75,15
15,1,309.95,363.01,672.96,15
16,1,324.43,360.18,684.61,15
17,1,316.51,360.96,677.47,15
18,1,318.48,359.01,677.49,15
19,1,315.40,361.50,676.90,15
20,1,313.34,361.83,675.17,15
21,1,316.04,365.15,681.19,15
22,1,320.98,365.56,686.54,15
23,1,314.55,359.98,674.53,15
24,1,312.36,361.03,673.39,15
25,1,316.31,364.26,680.57,15
26,1,311.84,365.60,677.44,15
27,1,321.12,359.20,680.32,15
28,1,314.77,358.81,673.58,15
29,1,320.60,362.29,682.89,15
30,1,310.30,358.94,669.24,15
31,1,320.75,359.82,680.57,15
32,1,310.03,355.27,665.30,16
33,1,313.87,359.61,673.48,15
34,1,317.92,358.34,676.26,15
35,1,313.58,362.88,676.46,15
36,1,310.87,365.17,676.04,15
37,1,310.13,365.60,675.73,15
38,1,310.07,363.33,673.40,15
39,1,312.09,360.25,672.34,15
40,1,313.53,363.43,676.96,15
41,1,312.55,368.06,680.61,15
42,1,313.80,364.62,678.42,15
43,1,306.48,364.28,670.76,15
44,1,315.65,361.60,677.25,15
45,1,310.78,362.82,673.60,15
46,1,315.31,365.94,681.25,15
47,1,319.97,364.91,684.88,15
48,1,305.67,361.96,667.63,15
49,1,314.22,362.69,676.91,15
50,1,320.72,369.01,689.73,15
51,1,322.36,368.38,690.74,15
52,1,312.48,363.58,676.06,15
53,1,324.87,362.30,687.17,15
54,1,316.62,364.72,681.34,15
55,1,318.71,369.70,688.41,15
56,1,309.81,363.95,673.76,15
57,1,319.17,366.07,685.24,15
58,1,318.90,366.84,685.74,15
59,1,307.87,365.29,673.16,15
60,1,309.47,362.45,671.92,15
61,1,312.17,364.10,676.27,15
62,1,316.57,363.82,680.39,15
63,1,314.11,361.92,676.03,15
64,1,319.04,366.85,685.89,15
65,1,314.57,367.51,682.08,15
66,1,305.27,362.89,668.16,15
67,1,306.35,364.20,670.55,15
68,1,312.72,361.51,674.23,15
69,1,315.05,362.63,677.68,15
70,1,321.03,361.29,682.32,15
71,1,314.71,360.66,675.37,15
72,1,315.55,361.38,676.93,15
73,1,314.56,365.58,680.14,15
74,1,319.54,361.55,681.09,15
75,1,310.60,360.03,670.63,15
76,1,316.90,361.44,678.34,15
77,1,313.14,365.61,678.75,15
78,1,317.52,368.53,686.05,15
79,1,312.28,365.18,677.46,15
80,1,322.87,367.38,690.25,15
81,1,314.42,371.21,685.63,15
82,1,315.86,367.17,683.03,15
83,1,315.80,367.89,683.69,15
84,1,316.90,373.35,690.25,15
85,1,307.26,373.61,680.87,15
86,1,312.36,367.59,679.95,15
87,1,318.41,365.99,684.40,15
88,1,315.05,370.46,685.51,15
89,1,312.16,368.26,680.42,15
90,1,311.46,371.30,682.76,15
91,1,311.99,368.12,680.11,15
92,1,337.00,363.83,700.83,15
93,1,309.09,363.11,672.20,15
94,1,314.09,363.14,677.23,15
95,1,312.72,365.33,678.05,15
96,1,315.72,365.32,681.04,15
97,1,315.11,364.85,679.96,15
98,1,319.00,369.13,688.13,15
99,1,309.16,364.78,673.94,15
100,1,316.73,364.67,681.40,15
101,1,312.36,364.93,677.29,15
102,1,322.42,366.25,688.67,15
103,1,320.65,366.70,687.35,15
104,1,312.69,365.46,678.15,15
105,1,316.75,367.10,683.85,15
106,1,310.92,364.27,675.19,15
107,1,310.42,366.43,676.85,15
108,1,316.89,369.65,686.54,15
109,1,317.69,366.01,683.70,15
110,1,314.62,362.01,676.63,15
111,1,313.80,365.06,678.86,15
112,1,305.71,365.35,671.06,15
113,1,311.90,366.57,678.47,15
114,1,310.90,365.01,675.91,15
115,1,308.15,367.78,675.93,15
116,1,311.36,367.63,678.99,15
117,1,312.46,366.07,678.53,15
118,1,315.02,364.41,679.43,15
119,1,312.27,364.90,677.17,15
120,1,309.21,364.08,673.29,15
121,1,313.82,361.98,675.80,15
122,1,314.34,362.00,676.34,15
123,1,314.56,358.84,673.40,15
124,1,307.67,359.57,667.24,15
125,1,309.99,359.65,669.64,15
126,1,311.60,360.82,672.42,15
127,1,311.02,364.95,675.97,15
128,1,309.98,363.54,673.52,15
129,1,312.48,366.77,679.25,15
130,1,320.42,365.64,686.06,15
131,1,313.35,360.38,673.73,15
132,1,310.27,361.70,671.97,15
133,1,311.44,365.48,676.92,15
134,1,302.23,367.92,670.15,15
135,1,318.10,362.92,681.02,15
136,1,310.51,365.45,675.96,15
137,1,304.66,359.47,664.13,15
138,1,306.79,360.97,667.76,15
139,1,310.26,359.41,669.67,15
140,1,313.17,362.54,675.71,15
141,1,308.91,361.40,670.31,15
142,1,308.81,364.99,673.80,15
143,1,320.01,358.85,678.86,15
144,1,316.73,361.36,678.09,15
145,1,314.37,360.57,674.94,15
146,1,316.00,360.71,676.71,15
147,1,316.81,361.72,678.53,15
148,1,311.19,358.08,669.27,15
149,1,312.98,357.16,670.14,15
150,1,309.00,357.59,666.59,15
1,2,62.28,62.79,125.07,2
2,2,65.69,36.14,101.83,1
3,2,68.84,34.59,103.43,1
4,2,70.20,34.31,104.51,2
5,2,70.19,48.47,118.66,1
6,2,57.87,28.14,86.01,2
7,2,70.71,47.46,118.17,1
8,2,70.55,35.63,106.18,1
9,2,69.81,48.41,118.22,1
10,2,70.90,36.12,107.02,1
11,2,70.14,48.11,118.25,1
12,2,69.08,35.51,104.59,2
13,2,71.47,48.11,119.58,1
14,2,68.25,35.55,103.80,1
15,2,70.36,46.99,117.35,1
16,2,70.83,35.15,105.98,2
17,2,71.58,48.08,119.66,1
18,2,70.06,36.07,106.13,1
19,2,70.77,34.63,105.40,1
20,2,70.72,48.45,119.17,2
21,2,70.29,47.41,117.70,1
22,2,70.25,34.29,104.54,1
23,2,70.84,35.04,105.88,1
